"job_id","job_title","job_location","job_schedule_type","salary_year_avg","job_posted_date","company_name","skills"
245409,"SAP Data Analyst","San Vendemiano, Province of Treviso, Italy","Full-time","111175.0","2023-07-08 04:17:27","Méthode Srl","sql"
245409,"SAP Data Analyst","San Vendemiano, Province of Treviso, Italy","Full-time","111175.0","2023-07-08 04:17:27","Méthode Srl","oracle"
245409,"SAP Data Analyst","San Vendemiano, Province of Treviso, Italy","Full-time","111175.0","2023-07-08 04:17:27","Méthode Srl","sap"
834533,"Data Analyst - Product Team","Milan, Metropolitan City of Milan, Italy","Full-time","102500.0","2023-04-28 20:19:24","Satispay","sql"
834533,"Data Analyst - Product Team","Milan, Metropolitan City of Milan, Italy","Full-time","102500.0","2023-04-28 20:19:24","Satispay","python"
834533,"Data Analyst - Product Team","Milan, Metropolitan City of Milan, Italy","Full-time","102500.0","2023-04-28 20:19:24","Satispay","r"
834533,"Data Analyst - Product Team","Milan, Metropolitan City of Milan, Italy","Full-time","102500.0","2023-04-28 20:19:24","Satispay","tableau"
834533,"Data Analyst - Product Team","Milan, Metropolitan City of Milan, Italy","Full-time","102500.0","2023-04-28 20:19:24","Satispay","looker"
156658,"Data Analyst","Milan, Metropolitan City of Milan, Italy","Full-time","102500.0","2023-05-03 23:41:44","Adevinta","sql"
156658,"Data Analyst","Milan, Metropolitan City of Milan, Italy","Full-time","102500.0","2023-05-03 23:41:44","Adevinta","python"
156658,"Data Analyst","Milan, Metropolitan City of Milan, Italy","Full-time","102500.0","2023-05-03 23:41:44","Adevinta","azure"
156658,"Data Analyst","Milan, Metropolitan City of Milan, Italy","Full-time","102500.0","2023-05-03 23:41:44","Adevinta","aws"
805174,"Data Analyst","Milan, Metropolitan City of Milan, Italy","Full-time","100500.0","2023-05-26 09:30:41","iGenius","sql"
805174,"Data Analyst","Milan, Metropolitan City of Milan, Italy","Full-time","100500.0","2023-05-26 09:30:41","iGenius","python"
805174,"Data Analyst","Milan, Metropolitan City of Milan, Italy","Full-time","100500.0","2023-05-26 09:30:41","iGenius","r"
805174,"Data Analyst","Milan, Metropolitan City of Milan, Italy","Full-time","100500.0","2023-05-26 09:30:41","iGenius","crystal"
805174,"Data Analyst","Milan, Metropolitan City of Milan, Italy","Full-time","100500.0","2023-05-26 09:30:41","iGenius","bigquery"
805174,"Data Analyst","Milan, Metropolitan City of Milan, Italy","Full-time","100500.0","2023-05-26 09:30:41","iGenius","tableau"
805174,"Data Analyst","Milan, Metropolitan City of Milan, Italy","Full-time","100500.0","2023-05-26 09:30:41","iGenius","qlik"
1578032,"NLP Expert (Natural Language Processing)","Ispra, VA, Italy","Full-time","89100.0","2023-04-21 00:12:23","NRB Group","python"
1578032,"NLP Expert (Natural Language Processing)","Ispra, VA, Italy","Full-time","89100.0","2023-04-21 00:12:23","NRB Group","java"
1578032,"NLP Expert (Natural Language Processing)","Ispra, VA, Italy","Full-time","89100.0","2023-04-21 00:12:23","NRB Group","r"
1578032,"NLP Expert (Natural Language Processing)","Ispra, VA, Italy","Full-time","89100.0","2023-04-21 00:12:23","NRB Group","flow"
226771,"Application Developer & Data Analyst","Nonantola, Province of Modena, Italy","Full-time","57500.0","2023-06-17 16:01:00","Bosch Group","sql"
226771,"Application Developer & Data Analyst","Nonantola, Province of Modena, Italy","Full-time","57500.0","2023-06-17 16:01:00","Bosch Group","java"
226771,"Application Developer & Data Analyst","Nonantola, Province of Modena, Italy","Full-time","57500.0","2023-06-17 16:01:00","Bosch Group","c#"
226771,"Application Developer & Data Analyst","Nonantola, Province of Modena, Italy","Full-time","57500.0","2023-06-17 16:01:00","Bosch Group","oracle"
491554,"Junior Data Analyst","Italy","Full-time","53014.0","2023-05-05 11:33:44","Octopus Energy","python"
1000037,"Data Analyst - Accounting SQL","Milan, Metropolitan City of Milan, Italy","Full-time","53014.0","2023-03-04 21:26:08","AUTO1 Group","sql"
1000037,"Data Analyst - Accounting SQL","Milan, Metropolitan City of Milan, Italy","Full-time","53014.0","2023-03-04 21:26:08","AUTO1 Group","python"
1000037,"Data Analyst - Accounting SQL","Milan, Metropolitan City of Milan, Italy","Full-time","53014.0","2023-03-04 21:26:08","AUTO1 Group","javascript"
1000037,"Data Analyst - Accounting SQL","Milan, Metropolitan City of Milan, Italy","Full-time","53014.0","2023-03-04 21:26:08","AUTO1 Group","vba"
1000037,"Data Analyst - Accounting SQL","Milan, Metropolitan City of Milan, Italy","Full-time","53014.0","2023-03-04 21:26:08","AUTO1 Group","excel"
1000037,"Data Analyst - Accounting SQL","Milan, Metropolitan City of Milan, Italy","Full-time","53014.0","2023-03-04 21:26:08","AUTO1 Group","tableau"
1181344,"Data Analyst for Consumer Sensors","Milan, Metropolitan City of Milan, Italy","Full-time","53014.0","2023-04-14 08:54:15","Bosch Group","python"
1181344,"Data Analyst for Consumer Sensors","Milan, Metropolitan City of Milan, Italy","Full-time","53014.0","2023-04-14 08:54:15","Bosch Group","matlab"
1181344,"Data Analyst for Consumer Sensors","Milan, Metropolitan City of Milan, Italy","Full-time","53014.0","2023-04-14 08:54:15","Bosch Group","spark"
1181344,"Data Analyst for Consumer Sensors","Milan, Metropolitan City of Milan, Italy","Full-time","53014.0","2023-04-14 08:54:15","Bosch Group","hadoop"
1181344,"Data Analyst for Consumer Sensors","Milan, Metropolitan City of Milan, Italy","Full-time","53014.0","2023-04-14 08:54:15","Bosch Group","tableau"
1556441,"AdTech Data Analyst","Milan, Metropolitan City of Milan, Italy","Full-time","51014.0","2023-02-03 15:51:33","Publicis Groupe","bigquery"
